id,artist,song,lyrics_bow
shawn mendes+if i can't have you,shawn mendes,if i can't have you,"['cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant', 'toronto', 'got', 'view', 'might', 'well', 'hotel', 'room', 'yeah', 'doesnt', 'matter', 'cause', 'consumed', 'spending', 'nights', 'reading', 'texts', 'good', 'keeping', 'distance', 'know', 'youre', 'feeling', 'missing', 'know', 'hate', 'admit', 'everything', 'means', 'nothing', 'cant', 'cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant', 'cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant', 'sorry', 'timings', 'cant', 'move', 'still', 'gonna', 'talk', 'wrong', 'want', 'half', 'want', 'strings', 'attached', 'good', 'keeping', 'distance', 'know', 'youre', 'feeling', 'missing', 'know', 'hate', 'admit', 'everything', 'means', 'nothing', 'cant', 'cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant', 'cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant', 'trying', 'move', 'forget', 'hold', 'everything', 'means', 'nothing', 'everything', 'means', 'nothing', 'babe', 'trying', 'move', 'forget', 'hold', 'everything', 'means', 'nothing', 'cant', 'cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant', 'yeah', 'cant', 'write', 'one', 'song', 'thats', 'cant', 'drink', 'without', 'thinking', 'late', 'tell', 'everything', 'means', 'nothing', 'cant']"
tones and i+dance monkey,tones and i,dance monkey,"['say', 'god', 'see', 'way', 'shine', 'take', 'hand', 'dear', 'place', 'mine', 'know', 'stopped', 'dead', 'passing', 'beg', 'see', 'dance', 'one', 'time', 'see', 'see', 'see', 'every', 'time', 'like', 'style', 'make', 'make', 'make', 'wanna', 'cry', 'beg', 'see', 'dance', 'one', 'time', 'say', 'dance', 'dance', 'dance', 'ive', 'never', 'seen', 'anybody', 'things', 'say', 'move', 'move', 'move', 'youre', 'done', 'ill', 'make', 'said', 'god', 'see', 'walking', 'take', 'hands', 'dear', 'look', 'eyes', 'like', 'monkey', 'ive', 'dancing', 'whole', 'life', 'beg', 'see', 'dance', 'one', 'time', 'see', 'see', 'see', 'every', 'time', 'like', 'style', 'make', 'make', 'make', 'wanna', 'cry', 'beg', 'see', 'dance', 'one', 'time', 'say', 'dance', 'dance', 'dance', 'ive', 'never', 'seen', 'anybody', 'things', 'say', 'move', 'move', 'move', 'youre', 'done', 'ill', 'make', 'say', 'dance', 'dance', 'dance', 'ive', 'never', 'seen', 'anybody', 'things', 'say', 'move', 'move', 'move', 'youre', 'done', 'ill', 'make', 'say', 'dance', 'dance', 'dance', 'ive', 'never', 'seen', 'anybody', 'things', 'say', 'move', 'move', 'move', 'youre', 'done', 'ill', 'make', 'say', 'dance', 'dance', 'dance', 'ive', 'never', 'seen', 'anybody', 'things', 'say', 'move', 'move', 'move', 'youre', 'done', 'ill', 'make']"
ali gatie+it's you,ali gatie,it's you,"['always', 'ever', 'gonna', 'fall', 'love', 'know', 'gonna', 'always', 'met', 'lot', 'people', 'nobody', 'feels', 'like', 'please', 'dont', 'break', 'heart', 'dont', 'tear', 'apart', 'know', 'starts', 'trust', 'ive', 'broken', 'dont', 'break', 'delicate', 'please', 'dont', 'break', 'heart', 'trust', 'ive', 'broken', 'ive', 'broken', 'yeah', 'know', 'feels', 'open', 'know', 'love', 'isnt', 'real', 'still', 'hurting', 'yeah', 'hurting', 'inside', 'scared', 'fall', 'love', 'try', 'always', 'ever', 'gonna', 'fall', 'love', 'know', 'gonna', 'always', 'met', 'lot', 'people', 'nobody', 'feels', 'like', 'please', 'dont', 'break', 'heart', 'dont', 'tear', 'apart', 'know', 'starts', 'trust', 'ive', 'broken', 'dont', 'break', 'delicate', 'please', 'dont', 'break', 'heart', 'trust', 'ive', 'broken', 'know', 'best', 'choosing', 'lovers', 'guys', 'listen', 'part', 'know', 'past', 'speaks', 'dont', 'think', 'right', 'please', 'dont', 'let', 'history', 'repeat', 'cause', 'want', 'yeah', 'want', 'yeah', 'theres', 'nothing', 'else', 'want', 'want', 'yeah', 'want', 'yeah', 'dont', 'wanna', 'lose', 'heart', 'always', 'ever', 'gonna', 'fall', 'love', 'know', 'gonna', 'always', 'met', 'lot', 'people', 'nobody', 'feels', 'like', 'please', 'dont', 'break', 'heart', 'dont', 'tear', 'apart', 'know', 'starts', 'trust', 'ive', 'broken', 'dont', 'break', 'delicate', 'please', 'dont', 'break', 'heart', 'trust', 'ive', 'broken']"
j balvin+que pretendes,j balvin,que pretendes,"['ahora', 'quiere', 'volver', 'ahora', 'quiere', 'volver', 'yeah', 'por', 'qué', 'razón', 'dime', 'para', 'qué', 'para', 'qué', 'para', 'qué', 'presto', 'atención', 'ninguna', 'desde', 'hace', 'tiempo', 'puse', 'punto', 'final', 'qué', 'pretendes', 'llamándome', 'esta', 'hora', 'esa', 'actitud', 'conozco', 'sabes', 'qué', 'hacer', 'muy', 'bien', 'para', 'envolverme', 'pero', 'esta', 'vez', 'muy', 'tarde', 'estas', 'son', 'horas', 'llamar', 'menos', 'que', 'quiera', 'mama', 'que', 'quiera', 'prender', 'que', 'quiera', 'quemar', 'hablando', 'claro', 'caía', 'hasta', 'mal', 'por', 'metí', 'pastilla', 'fui', 'overflow', 'mal', 'pero', 'ere', 'una', 'kardashian', 'contigo', 'tiro', 'porque', 'las', 'retro', 'embachan', 'snapchat', 'borré', 'facebook', 'borré', 'instagram', 'borré', 'vida', 'borré', 'ahora', 'quiere', 'volver', 'que', 'quiere', 'joder', 'pero', 'poder', 'vas', 'ver', 'con', 'otra', 'vas', 'morder', 'ahora', 'quiere', 'volver', 'que', 'quiere', 'joder', 'pero', 'poder', 'vas', 'ver', 'con', 'otra', 'vas', 'morder', 'qué', 'pretendes', 'llamándome', 'esta', 'hora', 'esa', 'actitud', 'conozco', 'sabes', 'qué', 'hacer', 'muy', 'bien', 'para', 'envolverme', 'pero', 'esta', 'vez', 'muy', 'tarde', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'intentas', 'hacerlo', 'todo', 'para', 'que', 'vuelva', 'las', 'cosas', 'son', 'iguales', 'para', 'qué', 'insistir', 'evita', 'molestias', 'tiempo', 'pierdas', 'conmigo', 'encuentras', 'nada', 'escondidas', 'vives', 'chequeando', 'las', 'fotos', 'investigando', 'perfil', 'niegues', 'bien', 'conozco', 'todo', 'que', 'hiciste', 'conmigo', 'quiere', 'repetirlo', 'anda', 'buscando', 'más', 'eso', 'igual', 'todo', 'que', 'hiciste', 'conmigo', 'quiere', 'repetirlo', 'anda', 'buscando', 'más', 'eso', 'igual', 'qué', 'pretendes', 'llamándome', 'esta', 'hora', 'esa', 'actitud', 'conozco', 'sabes', 'qué', 'hacer', 'muy', 'bien', 'para', 'envolverme', 'pero', 'esta', 'vez', 'muy', 'tarde', 'qué', 'pretendes', 'llamándome', 'esta', 'hora', 'esa', 'actitud', 'conozco', 'sabes', 'qué', 'hacer', 'muy', 'bien', 'para', 'envolverme', 'pero', 'esta', 'vez', 'muy', 'tarde', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'sky', 'rompiendo', 'yeah', 'yeah', 'yeah', 'yeah', 'rompiendo', 'bajo', 'bad', 'bunny', 'baby', 'bebé', 'bebé', 'balvin', 'leggo', 'balvin', 'bad', 'bunny', 'oasis', 'oasis', 'baby']"
the chainsmokers+takeaway,the chainsmokers,takeaway,"['heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'hey', 'hey', 'hey', 'think', 'youre', 'going', 'late', 'late', 'late', 'whats', 'wrong', 'said', 'cant', 'stay', 'give', 'reason', 'meaningless', 'want', 'get', 'feelings', 'drowned', 'weve', 'caught', 'better', 'love', 'nah', 'nah', 'nah', 'gonna', 'leave', 'nah', 'nah', 'nah', 'someone', 'leave', 'behind', 'ill', 'break', 'heart', 'dont', 'break', 'mine', 'love', 'nah', 'nah', 'nah', 'gonna', 'leave', 'nah', 'nah', 'nah', 'even', 'stay', 'still', 'want', 'heart', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'fate', 'fate', 'fate', 'came', 'get', 'messed', 'caught', 'better', 'love', 'nah', 'nah', 'nah', 'gonna', 'leave', 'nah', 'nah', 'nah', 'someone', 'leave', 'behind', 'ill', 'break', 'heart', 'dont', 'break', 'mine', 'love', 'nah', 'nah', 'nah', 'gonna', 'leave', 'nah', 'nah', 'nah', 'even', 'stay', 'still', 'want', 'heart', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'heart', 'take', 'away', 'yeah', 'yeah', 'heart', 'take', 'away', 'yeah', 'yeah', 'love', 'nah', 'nah', 'nah', 'gonna', 'leave', 'nah', 'nah', 'nah', 'someone', 'leave', 'behind', 'ill', 'break', 'heart', 'dont', 'break', 'mine', 'love', 'nah', 'nah', 'nah', 'gonna', 'leave', 'nah', 'nah', 'nah', 'even', 'stay', 'still', 'want', 'heart']"
young thug+the london (feat. j. cole & travis scott),young thug,the london (feat. j. cole & travis scott),"['yeah', 'yeah', 'yeah', 'woah', 'woah', 'woah', 'woah', 'woah', 'woah', 'good', 'minus', 'meet', 'london', 'find', 'time', 'run', 'one', 'one', 'talk', 'things', 'cant', 'undo', 'pen', 'find', 'money', 'say', 'word', 'ill', 'run', 'two', 'texts', 'reply', 'thats', 'knew', 'knew', 'knew', 'yeah', 'knew', 'yeah', 'circumnavigate', 'globe', 'cash', 'grows', 'get', 'nia', 'whacked', 'like', 'get', 'gras', 'mowed', 'talking', 'slick', 'run', 'big', 'slime', 'nia', 'slime', 'could', 'hit', 'bich', 'could', 'never', 'hit', 'mine', 'nia', 'mine', 'elect', 'trick', 'slide', 'nia', 'cat', 'fishing', 'fist', 'fight', 'nia', 'never', 'switch', 'sides', 'dog', 'catch', 'contact', 'hit', 'right', 'mars', 'everybody', 'singing', 'come', 'face', 'say', 'hate', 'artist', 'nia', 'done', 'never', 'heard', 'left', 'flock', 'rappers', 'dead', 'purged', 'verse', 'like', 'left', 'purge', 'math', 'like', '2000', 'dollars', 'every', 'word', 'verge', 'ill', 'beat', 'charge', 'killed', 'nias', 'walked', 'away', 'observe', 'curve', 'told', 'nias', 'gotta', 'wait', 'know', 'know', 'hot', 'demand', 'balling', 'puy', 'nia', 'like', 'jamaal', 'jameer', 'drowning', 'inside', 'puy', 'like', 'never', 'swam', 'watch', 'put', 'something', 'sonagram', 'man', 'ayy', 'ayy', 'meet', 'london', 'find', 'time', 'run', 'one', 'one', 'talk', 'things', 'cant', 'undo', 'pen', 'find', 'money', 'say', 'word', 'ill', 'run', 'two', 'texts', 'reply', 'thats', 'knew', 'knew', 'knew', 'yeah', 'knew', 'pimp', 'talk', 'church', 'talk', 'make', 'brick', 'walk', 'north', 'south', 'bankhead', 'ritual', 'ayy', 'hit', 'little', 'water', 'stretch', 'like', 'vocal', 'chord', 'std', 'want', 'wart', 'fed', 'daughter', 'ima', 'run', 'compound', 'supply', 'sugar', 'raisin', 'bread', 'woah', 'got', 'main', 'gon', 'ride', 'took', 'quarter', 'fled', 'mouth', 'goin', 'red', 'see', 'pain', 'shorties', 'lame', 'brown', 'eyes', 'london', 'big', 'thighs', 'fries', 'cheesesteaks', 'fish', 'eyes', 'mama', 'tell', 'theres', 'fire', 'drop', 'stop', 'roll', 'aww', 'yeah', 'ive', 'road', 'like', 'pair', 'sprinters', 'stop', 'yeah', 'could', 'charge', 'like', 'dodge', 'demon', 'got', 'broad', 'garage', 'eatin', 'semen', 'everytime', 'nia', 'back', 'ward', 'nias', 'act', 'like', 'wanna', 'start', 'leave', 'cement', 'meet', 'london', 'find', 'time', 'run', 'one', 'talk', 'things', 'cant', 'undo', 'pen', 'find', 'money', 'say', 'word', 'ill', 'run', 'two', 'texts', 'reply', 'thats', 'knew', 'knew', 'knew', 'yeah', 'knew']"
katy perry+never really over,katy perry,never really over,"['losing', 'self', 'control', 'yeah', 'starting', 'trickle', 'back', 'dont', 'wanna', 'fall', 'rabbit', 'hole', 'cross', 'heart', 'wont', 'tell', 'tell', 'tell', 'draw', 'line', 'trip', 'cross', 'line', 'think', 'two', 'years', 'like', 'head', 'still', 'takes', 'back', 'thought', 'done', 'guess', 'never', 'really', 'mess', 'wasnt', 'best', 'thought', 'done', 'guess', 'never', 'really', 'doesnt', 'mean', 'really', 'think', 'maybe', 'youll', 'coming', 'ill', 'get', 'mean', 'really', 'think', 'maybe', 'coming', 'ill', 'get', 'guess', 'could', 'try', 'hypnotherapy', 'gotta', 'rewire', 'brain', 'cause', 'cant', 'even', 'internet', 'without', 'even', 'checking', 'name', 'tell', 'tell', 'tell', 'draw', 'line', 'trip', 'cross', 'line', 'think', 'two', 'years', 'like', 'head', 'still', 'takes', 'back', 'thought', 'done', 'guess', 'never', 'really', 'mess', 'wasnt', 'best', 'thought', 'done', 'guess', 'never', 'really', 'doesnt', 'mean', 'really', 'think', 'maybe', 'youll', 'coming', 'ill', 'get', 'doesnt', 'mean', 'really', 'think', 'maybe', 'youll', 'coming', 'ill', 'get', 'thought', 'kissed', 'goodbye', 'thought', 'meant', 'time', 'last', 'guess', 'never', 'really', 'thought', 'drew', 'line', 'right', 'cant', 'keep', 'going', 'back', 'guess', 'never', 'really', 'yeah', 'two', 'years', 'like', 'head', 'still', 'takes', 'back', 'thought', 'done', 'guess', 'never', 'really', 'doesnt', 'mean', 'really', 'think', 'maybe', 'youll', 'coming', 'ill', 'get', 'ill', 'get', 'doesnt', 'mean', 'really', 'think', 'maybe', 'youll', 'coming', 'ill', 'get', 'thought', 'kissed', 'goodbye', 'thought', 'meant', 'time', 'last', 'guess', 'never', 'really', 'thought', 'drew', 'line', 'right', 'cant', 'keep', 'going', 'back', 'guess', 'never', 'really']"
martin garrix+summer days (feat. macklemore & patrick stump of fall out boy),martin garrix,summer days (feat. macklemore & patrick stump of fall out boy),"['got', 'feeling', 'summer', 'day', 'knew', 'saw', 'face', 'thought', 'could', 'one', 'looks', 'good', 'morning', 'dont', 'even', 'know', 'dont', 'want', 'yet', 'stay', 'moment', 'dont', 'look', 'mirror', 'look', 'eyes', 'see', 'reflection', 'youll', 'see', 'like', 'look', 'good', 'morning', 'dont', 'even', 'know', 'knew', 'got', 'feeling', 'summer', 'day', 'knew', 'saw', 'face', 'thought', 'could', 'one', 'got', 'feeling', 'summer', 'day', 'knew', 'saw', 'face', 'thought', 'could', 'one', 'sundress', 'arm', 'take', 'coupe', 'garage', 'pull', 'roof', 'back', 'stars', 'toast', 'gods', 'shes', 'one', 'masterpiece', 'drug', 'got', 'fast', 'release', 'got', 'sprung', 'wrapped', 'sheets', 'wake', 'fuck', 'going', 'back', 'sleep', 'island', 'ocean', 'color', 'stuck', 'iris', 'comfortable', 'silence', 'prefer', 'wilding', 'sundress', 'nothing', 'underneath', 'undress', 'could', 'look', 'eyes', 'see', 'mess', 'couple', 'broken', 'people', 'trying', 'complete', 'one', 'breath', 'dont', 'look', 'mirror', 'look', 'eyes', 'see', 'reflection', 'youll', 'see', 'like', 'look', 'good', 'morning', 'dont', 'even', 'know', 'knew', 'got', 'feeling', 'summer', 'day', 'knew', 'saw', 'face', 'thought', 'could', 'one', 'got', 'feeling', 'summer', 'day', 'knew', 'saw', 'face', 'thought', 'could', 'one', 'could', 'one']"
sech+otro trago,sech,otro trago,"['sigue', 'aquí', 'tomándose', 'otro', 'trago', 'novio', 'con', 'otra', 'está', 'los', 'amigos', 'subieron', 'estado', 'que', 'hoy', 'farra', 'van', 'cambió', 'siendo', 'mejor', 'que', 'ella', 'por', 'mujeres', 'par', 'botella', 'por', 'amigos', 'que', 'son', 'amigos', 'verda', 'verda', 'ice', 'porque', 'que', 'van', 'escribir', 'cuando', 'everybody', 'discotheque', 'ahora', 'oscuro', 'sin', 'disimulo', 'eso', 'así', 'olvidando', 'las', 'pena', 'pillé', 'ahora', 'hace', 'que', 'quiere', 'cuando', 'quiere', 'quiere', 'serás', 'otro', 'que', 'jode', 'también', 'cuando', 'pone', 'música', 'eso', 'así', 'ella', 'baila', 'como', 'nunca', 'que', 'sepa', 'ahora', 'oscuro', 'sin', 'disimulo', 'olvidando', 'las', 'pena', 'pillé', 'cuando', 'pone', 'música', 'ella', 'baila', 'como', 'nunca', 'real', 'rondo', 'ahora', 'hace', 'que', 'quiere', 'cuando', 'quiere', 'quiere', 'serás', 'otro', 'que', 'jode', 'también', 'stop', 'shit', 'nigga', 'ahora', 'ella', 'los', 'días', 'son', 'grise', 'eso', 'así', 'porque', 'mañana', 'son', 'felice', 'que', 'eran', 'beso', 'ahora', 'son', 'cicatrice', 'que', 'sepa', 'está', 'soltera', 'calle', 'dice', 'deja', 'que', 'coja', 'monte', 'mercede', 'roja', 'eso', 'así', 'voy', 'que', 'eso', 'abajo', 'moja', 'moja', 'que', 'conmigo', 'sonroja', 'trate', 'todo', 'malo', 'despoja', 'hazle', 'maleti', 'que', 'hace', 'tiempo', 'que', 'olvidó', 'eso', 'así', 'quiero', 'financiarte', 'quiero', 'darte', 'peti', 'tás', 'linda', 'con', 'cuerpecito', 'petite', 'esa', 'barriguita', 'con', 'más', 'cuadrito', 'que', 'tretis', 'baby', 'look', 'mañana', 'desayunamo', 'fruity', 'loops', 'god', 'voy', 'darte', 'eso', 'sabe', 'entramo', 'cuarto', 'pero', 'apague', 'que', 'castigarte', 'por', 'mala', 'actitu', 'listen', 'cuando', 'pone', 'música', 'eso', 'así', 'ella', 'baila', 'como', 'nunca', 'que', 'sepa', 'ahora', 'oscuro', 'sin', 'disimulo', 'olvidando', 'las', 'pena', 'pillé', 'cuando', 'pone', 'música', 'ella', 'baila', 'como', 'nunca', 'real', 'rondo', 'ahora', 'hace', 'que', 'quiere', 'cuando', 'quiere', 'quiere', 'serás', 'otro', 'que', 'jode', 'también', 'cuando', 'pone', 'música', 'música', 'ella', 'hasta', 'abajo', 'con', 'todo', 'woh', 'ahora', 'baila', 'fuma', 'toma', 'sola', 'llega', 'casa', 'dicen', 'qué', 'vida', 'que', 'nunca', 'acabe', 'ella', 'borracha', 'pero', 'pide', 'otra', 'botella', 'que', 'esa', 'hora', 'tiene', 'nota', 'alta', 'felicidad', 'ella', 'resalta', 'ahora', 'oscuro', 'sin', 'disimulo', 'eso', 'así', 'olvidando', 'las', 'pena', 'pillé', 'ahora', 'hace', 'que', 'quiere', 'cuando', 'quiere', 'quiere', 'serás', 'otro', 'que', 'jode', 'también', 'cuando', 'pone', 'música', 'eso', 'así', 'ella', 'baila', 'como', 'nunca', 'que', 'sepa', 'ahora', 'oscuro', 'sin', 'disimulo', 'olvidando', 'las', 'pena', 'pillé', 'cuando', 'pone', 'música', 'ella', 'baila', 'como', 'nunca', 'real', 'rondo', 'ahora', 'hace', 'que', 'quiere', 'cuando', 'quiere', 'quiere', 'serás', 'ese', 'otro', 'que', 'jode', 'también', 'stop', 'shit', 'nigga']"
ed sheeran+antisocial (with travis scott),ed sheeran,antisocial (with travis scott),"['cool', 'people', 'better', 'leave', 'cause', 'happen', 'friday', 'night', 'riding', 'solo', 'yeah', 'touch', 'keep', 'low', 'low', 'lit', 'dont', 'mess', 'energy', 'photos', 'antisocial', 'dont', 'care', 'dont', 'give', 'damn', 'gonna', 'smoke', 'got', 'bottle', 'hand', 'bring', 'though', 'got', 'hat', 'low', 'dont', 'talk', 'straight', 'ive', 'give', 'space', 'dont', 'know', 'whats', 'brain', 'music', 'loud', 'easing', 'pain', 'yeah', 'yeah', 'yeah', 'yeah', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'something', 'something', 'something', 'wanna', 'riot', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'wont', 'let', 'nothing', 'come', 'night', 'straight', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'something', 'something', 'something', 'wanna', 'riot', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'wont', 'let', 'nothing', 'come', 'night', 'need', 'room', 'need', 'room', 'standing', 'way', 'close', 'might', 'catch', 'fumes', 'might', 'catch', 'fumes', 'zoom', 'zoom', 'past', 'wake', 'right', 'past', 'noon', 'right', 'past', 'noon', 'doomed', 'hit', 'ground', 'movin', 'hennessys', 'drowning', 'issues', 'right', 'leave', 'give', 'miss', 'yeah', 'thing', 'got', 'back', 'like', 'engine', 'cant', 'hit', 'seen', 'vision', 'boy', 'commit', 'lit', 'ive', 'lost', 'inner', 'space', 'left', 'right', 'place', 'put', 'name', 'yeah', 'yeah', 'yeah', 'yeah', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'something', 'something', 'something', 'wanna', 'riot', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'wont', 'let', 'nothing', 'come', 'night', 'straight', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'something', 'something', 'something', 'wanna', 'riot', 'dont', 'touch', 'dont', 'touch', 'dont', 'touch', 'came', 'vibe', 'yeah', 'wont', 'let', 'nothing', 'come', 'night', 'dont', 'touch', 'yeah']"
jonas brothers+sucker,jonas brothers,sucker,"['together', 'better', 'birds', 'feather', 'change', 'weather', 'yeah', 'feeling', 'heat', 'december', 'youre', 'round', 'ive', 'dancing', 'top', 'cars', 'stumbling', 'bars', 'follow', 'dark', 'cant', 'get', 'enough', 'youre', 'medicine', 'pain', 'tattoo', 'inside', 'brain', 'baby', 'know', 'obvious', 'sucker', 'say', 'word', 'ill', 'anywhere', 'blindly', 'sucker', 'yeah', 'road', 'take', 'know', 'youll', 'find', 'sucker', 'subliminal', 'things', 'one', 'knows', 'youre', 'making', 'typical', 'break', 'typical', 'rules', 'true', 'sucker', 'yeah', 'dont', 'complicate', 'yeah', 'cause', 'know', 'know', 'everything', 'cant', 'remember', 'yeah', 'nights', 'dont', 'remember', 'youre', 'round', 'yeah', 'yeah', 'ive', 'dancing', 'top', 'cars', 'stumbling', 'bars', 'follow', 'dark', 'cant', 'get', 'enough', 'youre', 'medicine', 'pain', 'tattoo', 'inside', 'brain', 'baby', 'know', 'obvious', 'sucker', 'say', 'word', 'ill', 'anywhere', 'blindly', 'sucker', 'yeah', 'road', 'take', 'know', 'youll', 'find', 'sucker', 'subliminal', 'things', 'one', 'knows', 'youre', 'making', 'typical', 'break', 'typical', 'rules', 'true', 'sucker', 'yeah', 'sucker', 'ive', 'dancing', 'top', 'cars', 'stumbling', 'bars', 'follow', 'dark', 'cant', 'get', 'enough', 'youre', 'medicine', 'pain', 'tattoo', 'inside', 'brain', 'baby', 'know', 'obvious', 'sucker', 'yeah', 'say', 'word', 'ill', 'anywhere', 'blindly', 'sucker', 'yeah', 'road', 'take', 'know', 'youll', 'find', 'sucker', 'subliminal', 'things', 'one', 'knows', 'youre', 'making', 'typical', 'break', 'typical', 'rules', 'true', 'sucker', 'sucker']"
kygo+higher love,kygo,higher love,"['think', 'must', 'higher', 'love', 'heart', 'hidden', 'stars', 'without', 'life', 'wasted', 'time', 'look', 'inside', 'heart', 'ill', 'look', 'inside', 'mine', 'things', 'look', 'bad', 'everywhere', 'whole', 'world', 'fair', 'walk', 'line', 'try', 'see', 'falling', 'behind', 'could', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'wheres', 'higher', 'love', 'keep', 'thinking', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'worlds', 'turning', 'hanging', 'facing', 'fear', 'standing', 'alone', 'yearning', 'yeah', 'real', 'must', 'someone', 'whos', 'feeling', 'things', 'look', 'bad', 'everywhere', 'whole', 'world', 'fair', 'walk', 'line', 'try', 'see', 'falling', 'behind', 'could', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'wheres', 'higher', 'love', 'keep', 'thinking', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'bring', 'love', 'bring', 'higher', 'love', 'need', 'higher', 'love', 'bring', 'higher', 'love', 'bring', 'bring', 'yeah', 'higher', 'love', 'keep', 'thinking', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'higher', 'love', 'keep', 'thinking', 'bring', 'higher', 'love', 'bring', 'higher', 'love', 'love', 'bring', 'higher', 'love', 'bring', 'higher', 'love']"
taylor swift+you need to calm down,taylor swift,you need to calm down,"['somebody', 'dont', 'know', 'youre', 'takin', 'shots', 'like', 'patrón', 'like', 'damn', 'say', 'street', 'thats', 'knock', 'say', 'tweet', 'thats', 'cop', 'like', 'hey', 'okay', 'aint', 'tryna', 'mess', 'self', 'expression', 'ive', 'learned', 'lesson', 'stressin', 'obsessin', 'bout', 'somebody', 'else', 'fun', 'snakes', 'stones', 'never', 'broke', 'bones', 'need', 'calm', 'youre', 'loud', 'like', 'need', 'stop', 'like', 'step', 'gown', 'need', 'calm', 'somebody', 'dont', 'know', 'youre', 'comin', 'friends', 'like', 'missile', 'mad', 'could', 'glaad', 'could', 'glaad', 'sunshine', 'street', 'parade', 'would', 'rather', 'dark', 'ages', 'makin', 'sign', 'mustve', 'taken', 'night', 'need', 'take', 'several', 'seats', 'try', 'restore', 'peace', 'control', 'urges', 'scream', 'people', 'hate', 'cause', 'shade', 'never', 'made', 'anybody', 'less', 'gay', 'need', 'calm', 'youre', 'loud', 'like', 'need', 'stop', 'like', 'step', 'gown', 'need', 'calm', 'see', 'internet', 'comparing', 'girls', 'killing', 'figured', 'know', 'got', 'crowns', 'need', 'calm', 'need', 'calm', 'need', 'calm', 'youre', 'loud', 'youre', 'loud', 'like', 'need', 'stop', 'stop', 'like', 'step', 'gowns', 'need', 'calm']"
